cohort,foundation_model,method,auroc_mean,auroc_sd,ap_mean,ap_sd
TCGA-COAD+READ,UNI2-h,DirectJoint,0.8998,0.0580,0.4489,0.1479
TCGA-COAD+READ,UNI2-h,IndependentPair,0.9090,0.0726,0.4864,0.1146
TCGA-COAD+READ,UNI2-h,NaiveMTL,0.9096,0.0627,0.5161,0.1531
TCGA-COAD+READ,UNI2-h,PostHoc-LR,0.9093,0.0776,0.4907,0.1122
TCGA-COAD+READ,UNI2-h,State-Aware,0.9080,0.0965,0.5566,0.2015
TCGA-LUAD,UNI2-h,DirectJoint,0.6264,0.1122,0.1928,0.1262
TCGA-LUAD,UNI2-h,IndependentPair,0.6842,0.1476,0.2525,0.1347
TCGA-LUAD,UNI2-h,NaiveMTL,0.6485,0.1724,0.2202,0.1820
TCGA-LUAD,UNI2-h,PostHoc-LR,0.6894,0.1459,0.2177,0.1224
TCGA-LUAD,UNI2-h,State-Aware,0.6725,0.1746,0.2784,0.1714
TCGA-COAD+READ,CONCH,DirectJoint,0.8780,0.0565,0.3932,0.0658
TCGA-COAD+READ,CONCH,IndependentPair,0.8372,0.0605,0.3448,0.0916
TCGA-COAD+READ,CONCH,NaiveMTL,0.8269,0.0317,0.3225,0.0502
TCGA-COAD+READ,CONCH,PostHoc-LR,0.8441,0.0622,0.3430,0.1020
TCGA-COAD+READ,CONCH,State-Aware,0.8876,0.0473,0.4410,0.0446
TCGA-LUAD,CONCH,DirectJoint,0.5292,0.1481,0.1226,0.0728
TCGA-LUAD,CONCH,IndependentPair,0.4926,0.0869,0.1012,0.0178
TCGA-LUAD,CONCH,NaiveMTL,0.4996,0.1063,0.1101,0.0345
TCGA-LUAD,CONCH,PostHoc-LR,0.4990,0.1033,0.1049,0.0219
TCGA-LUAD,CONCH,State-Aware,0.5725,0.1285,0.1659,0.1078
